                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.5157,                  3.364,                 3.3391,                      0,                      0,                      0,                      0,                  6.688,                 4.6701,                 4.5029,             0.00065909,             0.00065909,             0.00065909
                      2,                 2.6721,                 1.8097,                 1.9949,                0.64639,                0.45507,                0.49381,                0.20527,                 2.2202,                 1.9181,                 1.7984,              0.0013126,              0.0013126,              0.0013126
                      3,                 2.5474,                 1.6451,                 1.8103,                0.62136,                0.44726,                0.49461,                 0.1967,                  2.316,                 1.7323,                 1.8452,               0.001953,               0.001953,               0.001953
                      4,                   2.46,                 1.4977,                 1.7064,                0.60576,                0.52321,                0.46083,                0.16963,                 2.4876,                 1.6831,                 1.8936,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.4615,                 1.4988,                 1.6738,                0.51184,                0.51983,                0.40861,                0.14854,                 2.3393,                 1.5651,                 1.8109,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.3786,                 1.4304,                 1.6315,                0.70314,                0.48472,                0.53595,                0.18223,                  2.607,                 1.8173,                 1.9692,               0.001901,               0.001901,               0.001901
                      7,                 2.3481,                 1.3662,                 1.6079,                0.69077,                0.50422,                0.49254,                0.14348,                 2.8109,                 1.5757,                 2.0506,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.3679,                 1.3942,                 1.6076,                0.84649,                0.54641,                0.59998,                0.24143,                 2.3597,                 1.4361,                 1.7741,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.3336,                 1.4186,                 1.5955,                0.69089,                0.49156,                 0.4852,                0.16131,                 2.6377,                 1.5785,                 1.9134,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.2844,                 1.3485,                 1.5637,                0.75526,                0.51899,                 0.5413,                0.17521,                 2.7098,                 1.4431,                 1.9491,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.2902,                 1.3394,                 1.5623,                0.88633,                0.61603,                0.67065,                0.30659,                 2.0854,                 1.2553,                 1.6358,               0.001802,               0.001802,               0.001802
                     12,                 2.2779,                 1.3517,                  1.537,                0.76572,                0.59299,                0.61504,                0.25755,                 2.1434,                 1.3043,                 1.6404,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.2039,                 1.2953,                 1.5109,                0.82416,                0.55696,                0.63013,                0.23607,                 2.3867,                 1.2998,                 1.7481,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.1343,                 1.2769,                 1.4633,                0.86649,                0.54767,                0.63479,                0.24504,                 2.3335,                 1.2945,                 1.7181,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.1441,                 1.2697,                 1.4944,                0.87271,                 0.6308,                0.69402,                0.31983,                 1.9687,                 1.1827,                 1.5415,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.1825,                 1.3048,                 1.4831,                0.88763,                0.61814,                0.68674,                0.27845,                 2.0964,                 1.2018,                 1.6027,               0.001703,               0.001703,               0.001703
                     17,                 2.1148,                 1.2599,                 1.4444,                0.88782,                0.56962,                0.68263,                0.26536,                 2.1589,                 1.2173,                 1.7057,              0.0016832,              0.0016832,              0.0016832
                     18,                 2.1039,                 1.2454,                 1.4384,                0.88482,                0.63502,                0.69979,                0.31476,                 1.9909,                 1.1153,                 1.5378,              0.0016634,              0.0016634,              0.0016634
                     19,                 2.0504,                 1.2269,                 1.4215,                0.85836,                0.60091,                0.66231,                0.22538,                 2.3463,                 1.1861,                 1.7237,              0.0016436,              0.0016436,              0.0016436
                     20,                 2.0998,                 1.2345,                 1.4365,                0.79191,                0.51383,                  0.564,                0.15927,                 2.5587,                 1.3372,                 1.8641,              0.0016238,              0.0016238,              0.0016238
                     21,                 2.0364,                 1.2412,                 1.4198,                0.87734,                0.60357,                0.68387,                0.27454,                 2.0903,                 1.1782,                 1.5749,               0.001604,               0.001604,               0.001604
                     22,                 2.0496,                 1.2309,                 1.4148,                0.87448,                0.61603,                0.68673,                0.31799,                 1.9175,                 1.1385,                 1.5302,              0.0015842,              0.0015842,              0.0015842
                     23,                 2.0513,                  1.217,                 1.4224,                0.82967,                0.62869,                0.68156,                0.26724,                 2.1282,                 1.1448,                 1.6063,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.9869,                 1.1685,                 1.3758,                0.91894,                0.62187,                0.71678,                0.31815,                 1.9075,                 1.1207,                  1.483,              0.0015446,              0.0015446,              0.0015446
                     25,                 2.0048,                 1.1874,                 1.3904,                0.76673,                0.56751,                0.57602,                0.15011,                 2.7492,                 1.3051,                 2.0605,              0.0015248,              0.0015248,              0.0015248
                     26,                   2.01,                 1.1876,                 1.4005,                0.80986,                0.59307,                0.64985,                0.17716,                 2.6407,                 1.2358,                 1.8939,               0.001505,               0.001505,               0.001505
                     27,                 1.9981,                 1.1804,                 1.3889,                0.90862,                0.62935,                0.71023,                 0.2405,                  2.285,                 1.1786,                 1.6653,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.9768,                 1.2003,                 1.3803,                0.91962,                0.63713,                0.71429,                0.30018,                 2.0551,                 1.1231,                 1.5576,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.9269,                 1.1464,                 1.3462,                0.89047,                0.64135,                0.71198,                 0.3226,                 1.8907,                 1.0664,                 1.4681,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.9881,                 1.1906,                 1.3973,                0.91136,                0.64346,                0.72369,                0.33708,                 1.7576,                    1.1,                 1.4617,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.9817,                 1.1778,                 1.3715,                0.90815,                0.61603,                0.70023,                0.32292,                 1.8912,                 1.1369,                 1.5284,               0.001406,               0.001406,               0.001406
                     32,                 1.9241,                 1.1317,                 1.3583,                0.92498,                0.65027,                0.72708,                0.33351,                 1.8723,                 1.0738,                  1.449,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.9364,                 1.1678,                 1.3627,                0.90091,                0.65218,                0.72314,                0.34285,                 1.8555,                 1.0745,                 1.4625,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.9151,                 1.1105,                 1.3494,                0.89722,                0.64457,                0.70533,                0.29866,                  2.038,                 1.1255,                 1.5296,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.9044,                 1.1333,                 1.3518,                0.94794,                0.65303,                0.73213,                 0.3698,                 1.6903,                  1.084,                 1.3886,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.8549,                 1.1037,                 1.3151,                  0.884,                0.65823,                0.73335,                0.29079,                 2.0651,                 1.0894,                 1.5483,               0.001307,               0.001307,               0.001307
                     37,                 1.8605,                 1.0918,                 1.3086,                0.85431,                0.64329,                0.71489,                0.33164,                 1.8497,                  1.107,                 1.4325,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.8384,                 1.0813,                  1.311,                0.91309,                0.66495,                0.73332,                0.29936,                 2.0631,                 1.0938,                 1.5436,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.8761,                 1.1163,                 1.3336,                0.83487,                0.60127,                0.65764,                0.19664,                 2.5791,                  1.162,                 1.8637,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.8537,                  1.097,                 1.3225,                0.89844,                0.66456,                0.73901,                0.33392,                 1.8432,                 1.0163,                 1.4407,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.8305,                 1.1097,                  1.307,                0.86775,                0.62658,                0.69015,                0.23252,                 2.4426,                 1.1498,                 1.7759,               0.001208,               0.001208,               0.001208
                     42,                 1.8371,                 1.0973,                 1.3237,                0.93476,                0.63474,                0.72545,                0.34777,                 1.8193,                  1.093,                 1.4154,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.8107,                 1.0879,                 1.3135,                0.91892,                0.64346,                0.72353,                0.29341,                 2.1145,                 1.0674,                 1.5675,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.8111,                 1.0655,                 1.3081,                0.89602,                0.66456,                0.73602,                0.32542,                 1.9234,                 1.0325,                 1.4797,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.7994,                 1.0824,                 1.2937,                0.91348,                0.64592,                0.72735,                0.33768,                 1.8434,                 1.0503,                 1.4322,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.8184,                 1.0668,                 1.3152,                0.91675,                0.62729,                0.71579,                0.25823,                 2.1744,                 1.1467,                 1.6187,               0.001109,               0.001109,               0.001109
                     47,                 1.7992,                 1.0711,                 1.2936,                0.89318,                0.65823,                0.72283,                0.27864,                 2.1632,                 1.0912,                 1.6026,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.8033,                   1.05,                  1.293,                0.88891,                0.64151,                0.72008,                0.28108,                 2.1676,                 1.0922,                 1.6015,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.7708,                 1.0394,                  1.297,                0.90868,                0.65823,                0.72959,                0.29031,                 2.1781,                 1.0789,                 1.6101,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.7659,                 1.0618,                 1.2907,                0.91902,                0.67089,                0.75218,                 0.3122,                 2.0957,                  1.062,                 1.5655,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.7365,                 1.0437,                 1.2604,                0.92846,                0.68448,                0.76693,                0.35593,                 1.8813,                0.98916,                 1.4483,                0.00101,                0.00101,                0.00101
                     52,                  1.745,                 1.0386,                 1.2717,                0.91745,                0.67993,                 0.7578,                0.38367,                 1.7075,                 0.9801,                 1.3761,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.7232,                 1.0382,                 1.2649,                0.93807,                0.63913,                0.72325,                 0.2756,                 2.2474,                 1.0692,                 1.6411,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.7466,                 1.0484,                 1.2715,                0.93388,                0.65555,                0.74588,                0.36282,                  1.748,                0.99117,                 1.3998,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.7522,                  1.022,                 1.2762,                0.92386,                 0.6519,                0.73572,                0.29004,                 2.1355,                 1.0608,                 1.5732,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.7238,                 1.0167,                 1.2638,                0.91614,                0.66839,                0.75029,                0.32255,                 2.0294,                 1.0023,                 1.5263,               0.000911,               0.000911,               0.000911
                     57,                 1.7338,                 1.0313,                 1.2841,                0.94424,                0.67881,                0.75645,                0.36138,                 1.8653,                0.96978,                 1.4407,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.7244,                 1.0423,                 1.2619,                0.94548,                0.68776,                0.78047,                0.38327,                 1.7668,                0.92662,                 1.3926,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.7327,                 1.0315,                 1.2799,                0.88709,                0.67511,                0.75589,                0.36868,                 1.7847,                0.98354,                 1.4111,              0.0008516,              0.0008516,              0.0008516
                     60,                    1.7,                 1.0073,                 1.2592,                0.94028,                0.66436,                0.75931,                0.32053,                 2.0112,                 1.0014,                 1.5178,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.7216,                 1.0427,                 1.2757,                0.91745,                0.65656,                0.74165,                 0.3374,                 1.9412,                0.99746,                 1.4827,               0.000812,               0.000812,               0.000812
                     62,                  1.648,                 1.0017,                 1.2368,                 0.9469,                0.67715,                0.76354,                0.38251,                 1.6867,                0.91478,                 1.3727,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.6797,                  0.985,                 1.2409,                0.89106,                0.69025,                0.75913,                0.31836,                 2.0353,                0.98779,                 1.5294,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.6772,                0.99079,                  1.235,                 0.8584,                0.63713,                0.68573,                0.19892,                  2.585,                 1.0851,                 1.8563,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.6775,                 1.0022,                 1.2369,                 0.9209,                0.68776,                0.76564,                0.37154,                  1.766,                0.93831,                 1.3986,              0.0007328,              0.0007328,              0.0007328
                     66,                   1.67,                0.95498,                 1.2332,                0.93203,                0.69435,                0.77626,                 0.3548,                 1.8419,                0.92303,                 1.4435,               0.000713,               0.000713,               0.000713
                     67,                 1.6724,                 0.9807,                 1.2529,                0.90908,                0.67502,                0.75599,                0.34644,                 1.9114,                0.99188,                 1.4764,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.6834,                 1.0021,                 1.2617,                0.93945,                0.68733,                0.77006,                0.31627,                 2.0777,                0.96102,                 1.5556,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.6698,                0.99134,                 1.2373,                0.92532,                0.65401,                0.74251,                0.29732,                 2.1143,                0.99612,                 1.5777,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.6288,                 0.9622,                 1.2355,                0.91306,                0.71097,                0.77521,                0.36858,                 1.7981,                0.93828,                 1.4137,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.6093,                0.93928,                 1.2172,                0.91112,                0.70042,                0.76818,                0.35605,                 1.8535,                0.93544,                 1.4479,               0.000614,               0.000614,               0.000614
                     72,                 1.6428,                0.96382,                 1.2421,                0.93031,                0.69831,                 0.7824,                0.39072,                 1.7299,                0.90613,                 1.3814,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.6154,                0.97707,                 1.2276,                0.91063,                0.68987,                 0.7665,                0.34694,                 1.8818,                0.97269,                 1.4524,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.6378,                0.96813,                 1.2487,                0.91037,                0.68987,                0.76482,                0.34392,                 1.9215,                0.96542,                 1.4735,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.6327,                0.97863,                 1.2324,                0.94364,                0.67932,                0.76465,                0.36817,                 1.8066,                0.94677,                 1.4189,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.5713,                 0.9326,                 1.2024,                0.90517,                 0.7048,                0.77639,                0.36581,                 1.7889,                 0.9131,                 1.4126,               0.000515,               0.000515,               0.000515
                     77,                 1.5809,                 0.9398,                 1.2152,                0.91952,                 0.6962,                0.76784,                0.34673,                 1.9306,                0.93256,                 1.4658,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.6292,                0.96172,                 1.2315,                  0.935,                0.69831,                0.77539,                0.36861,                 1.8349,                0.93529,                 1.4236,              0.0004754,              0.0004754,              0.0004754
                     79,                  1.575,                0.93376,                  1.213,                0.91616,                0.69157,                0.76868,                0.37863,                  1.749,                 0.8651,                 1.4001,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.5916,                0.94299,                  1.213,                0.92645,                0.71751,                0.78324,                0.36062,                 1.8548,                0.90271,                 1.4369,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.5885,                0.93344,                  1.211,                0.91983,                0.70193,                0.77001,                0.37744,                  1.769,                0.89753,                 1.3952,               0.000416,               0.000416,               0.000416
                     82,                 1.6006,                0.93476,                 1.2224,                0.91367,                0.70886,                0.77732,                0.35004,                 1.9491,                 0.9137,                 1.4833,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.5736,                0.93854,                 1.2024,                0.90505,                0.70387,                0.77382,                0.39041,                 1.6683,                0.90119,                 1.3514,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.5932,                0.93013,                 1.2157,                0.93729,                0.69369,                0.77758,                0.36689,                 1.8183,                0.90455,                 1.4169,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.5803,                0.92802,                 1.2087,                0.91339,                 0.6962,                0.77317,                0.38646,                 1.7425,                0.89747,                   1.38,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.5593,                0.92365,                 1.2046,                 0.9011,                0.71121,                0.78222,                0.34842,                 1.9309,                0.90489,                 1.4779,               0.000317,               0.000317,               0.000317
                     87,                 1.5522,                0.90487,                 1.1901,                0.92338,                0.71193,                0.77742,                0.38687,                 1.7441,                0.88406,                 1.3888,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.5518,                0.91799,                 1.1938,                0.90454,                0.71966,                0.78023,                0.39159,                 1.7506,                 0.8584,                 1.3819,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.5614,                0.92454,                 1.2006,                0.91956,                0.70253,                0.78283,                0.37328,                  1.833,                0.89447,                 1.4227,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.5441,                0.91414,                 1.1961,                0.92872,                0.70042,                0.78347,                0.38233,                 1.7933,                0.87247,                 1.4011,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.5237,                0.93332,                 1.2457,                0.92371,                0.69198,                0.77783,                0.39311,                 1.7072,                0.88147,                 1.3665,               0.000218,               0.000218,               0.000218
                     92,                 1.4574,                0.85611,                 1.2117,                0.92096,                0.70253,                0.78435,                 0.3981,                 1.6781,                0.87644,                  1.352,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.4602,                0.86297,                 1.2217,                0.91369,                0.70675,                0.77838,                0.38133,                 1.7754,                 0.8902,                 1.3961,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.4268,                0.84669,                 1.2043,                0.92254,                0.70354,                0.78095,                 0.3848,                 1.7696,                0.87921,                 1.3969,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.4124,                 0.8478,                 1.2101,                0.93972,                0.68565,                0.78731,                 0.3974,                 1.6895,                0.86073,                 1.3568,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.4222,                0.84746,                 1.2048,                0.90645,                 0.7155,                 0.7866,                0.40329,                  1.674,                 0.8618,                 1.3474,               0.000119,               0.000119,               0.000119
                     97,                 1.3961,                0.83949,                 1.2004,                0.92052,                0.70854,                0.78692,                0.39712,                 1.7144,                0.86605,                 1.3671,               9.92e-05,               9.92e-05,               9.92e-05
