                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2715,                 3.4082,                 3.2837,                0.58322,                0.07419,                0.11806,                0.04498,                 4.0133,                 3.2803,                 2.9445,             0.00066077,             0.00066077,             0.00066077
                      2,                 2.5178,                    1.9,                 1.9811,                0.46754,                0.40323,                0.37342,                0.13386,                 2.4598,                  2.105,                 1.9582,               0.001196,               0.001196,               0.001196
                      3,                 2.3628,                 1.5951,                 1.8027,                0.63113,                0.50227,                0.52723,                0.17412,                  2.341,                 1.6239,                  1.839,              0.0015993,              0.0015993,              0.0015993
                      4,                  2.279,                 1.5219,                 1.7305,                0.60793,                0.49355,                0.53009,                0.18423,                 2.3558,                 1.6059,                 1.8085,               0.001406,               0.001406,               0.001406
                      5,                 2.2058,                  1.426,                  1.673,                0.86245,                0.57097,                 0.6501,                0.28544,                 2.1631,                 1.3473,                 1.6692,               0.001208,               0.001208,               0.001208
                      6,                 2.1176,                  1.349,                 1.6042,                0.72193,                0.53548,                0.55572,                0.17166,                 2.5482,                 1.4633,                  1.856,                0.00101,                0.00101,                0.00101
                      7,                 2.0432,                 1.2643,                  1.555,                0.89023,                0.60172,                 0.6703,                0.33408,                 1.9401,                 1.2133,                 1.5399,               0.000812,               0.000812,               0.000812
                      8,                 1.9343,                 1.1949,                 1.4827,                0.85281,                0.61676,                0.68112,                0.33507,                 1.9352,                  1.148,                 1.5206,               0.000614,               0.000614,               0.000614
                      9,                 1.8625,                 1.1776,                 1.4541,                0.86296,                0.60968,                0.68015,                0.31704,                 1.9599,                 1.1284,                 1.5208,               0.000416,               0.000416,               0.000416
                     10,                  1.877,                 1.1379,                 1.4641,                0.87102,                0.61935,                0.68988,                0.32658,                 1.9814,                  1.105,                  1.514,               0.000218,               0.000218,               0.000218
