                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2847,                 3.1751,                 3.1489,                0.37757,                0.41379,                0.33054,                0.10766,                 2.5775,                 1.9443,                 2.1995,             0.00066077,             0.00066077,             0.00066077
                      2,                 2.4788,                 1.5401,                 1.8218,                0.59852,                0.52874,                0.48967,                0.19539,                 2.2704,                 1.6141,                 1.8363,              0.0013209,              0.0013209,              0.0013209
                      3,                 2.3649,                 1.3664,                 1.6694,                0.80002,                0.62404,                0.65286,                0.26018,                 2.1722,                  1.276,                 1.7194,              0.0019744,              0.0019744,              0.0019744
                      4,                 2.3015,                 1.2893,                 1.6102,                0.75184,                0.56713,                0.60869,                0.20843,                 2.2928,                 1.3725,                 1.7789,              0.0019703,              0.0019703,              0.0019703
                      5,                 2.2348,                 1.2381,                 1.5582,                0.87802,                0.56814,                 0.6562,                  0.308,                 2.0886,                 1.2819,                 1.6297,              0.0019604,              0.0019604,              0.0019604
                      6,                 2.1836,                  1.204,                 1.5286,                0.89569,                 0.6345,                0.69806,                0.28628,                  2.173,                 1.1569,                 1.6662,              0.0019505,              0.0019505,              0.0019505
                      7,                 2.1603,                 1.1966,                  1.519,                0.91904,                0.61512,                 0.7027,                0.31516,                  2.034,                 1.1283,                 1.6044,              0.0019406,              0.0019406,              0.0019406
                      8,                 2.0667,                 1.1986,                 1.4529,                0.71503,                0.52325,                0.54132,                0.15843,                 2.6534,                 1.4563,                 1.9919,              0.0019307,              0.0019307,              0.0019307
                      9,                 2.0841,                 1.1962,                 1.4581,                0.89403,                0.59278,                0.66389,                0.24349,                 2.3743,                 1.3717,                 1.7911,              0.0019208,              0.0019208,              0.0019208
                     10,                 2.0434,                  1.148,                 1.4305,                0.87174,                0.64039,                0.71887,                0.29792,                 2.0308,                 1.1904,                 1.6383,              0.0019109,              0.0019109,              0.0019109
                     11,                 2.0611,                 1.1453,                 1.4309,                0.84044,                0.59113,                0.66496,                0.23194,                 2.3693,                 1.2572,                 1.7439,               0.001901,               0.001901,               0.001901
                     12,                 2.0156,                 1.1338,                 1.4185,                 0.8619,                0.60099,                0.70647,                0.33277,                 1.8163,                  1.106,                 1.4792,              0.0018911,              0.0018911,              0.0018911
                     13,                 1.9708,                 1.1146,                 1.3959,                0.83892,                0.61741,                0.62805,                0.21566,                 2.4468,                 1.2953,                 1.7916,              0.0018812,              0.0018812,              0.0018812
                     14,                 1.9474,                 1.1117,                 1.3779,                0.83918,                0.63408,                 0.6872,                0.27898,                 2.1028,                 1.1759,                 1.5981,              0.0018713,              0.0018713,              0.0018713
                     15,                 1.9171,                 1.0657,                  1.361,                0.88432,                0.65276,                0.70867,                0.32091,                 1.8339,                  1.109,                 1.4525,              0.0018614,              0.0018614,              0.0018614
                     16,                 1.9144,                 1.0665,                 1.3528,                0.87785,                0.67267,                0.74061,                0.34841,                 1.8041,                0.99586,                 1.4417,              0.0018515,              0.0018515,              0.0018515
                     17,                 1.9287,                 1.0831,                 1.3608,                0.87192,                0.62397,                0.71904,                 0.3273,                 1.8649,                 1.0395,                  1.478,              0.0018416,              0.0018416,              0.0018416
                     18,                 1.8908,                 1.0637,                 1.3464,                0.78741,                0.62069,                0.61813,                0.21142,                 2.3888,                 1.2733,                 1.7467,              0.0018317,              0.0018317,              0.0018317
                     19,                 1.8641,                 1.0492,                   1.33,                0.85939,                0.64039,                0.66916,                0.24167,                 2.3187,                 1.2152,                 1.7446,              0.0018218,              0.0018218,              0.0018218
                     20,                  1.888,                 1.0617,                 1.3417,                0.86161,                0.62364,                0.69196,                0.25023,                 2.2605,                 1.1665,                 1.6475,              0.0018119,              0.0018119,              0.0018119
                     21,                 1.8979,                 1.0701,                 1.3402,                0.89912,                0.62933,                0.73055,                0.37685,                 1.7202,                 1.1132,                 1.3923,               0.001802,               0.001802,               0.001802
                     22,                 1.8474,                 1.0565,                 1.3137,                0.89527,                0.70115,                0.74222,                0.33451,                 1.9097,                 1.0042,                 1.4979,              0.0017921,              0.0017921,              0.0017921
                     23,                  1.794,                 1.0082,                 1.3079,                0.88798,                0.64696,                0.72464,                0.30031,                 2.0215,                 1.0423,                 1.5081,              0.0017822,              0.0017822,              0.0017822
                     24,                 1.7998,                 1.0177,                  1.297,                0.90743,                0.65681,                0.74228,                0.33128,                  1.905,                 1.0115,                 1.4668,              0.0017723,              0.0017723,              0.0017723
                     25,                 1.8312,                 1.0387,                 1.3125,                0.88223,                0.67651,                0.74363,                 0.3225,                 1.8939,                 1.0708,                 1.4632,              0.0017624,              0.0017624,              0.0017624
                     26,                 1.8075,                 1.0177,                 1.3012,                0.79402,                0.61412,                0.61261,                0.18346,                 2.5022,                 1.2734,                 1.8149,              0.0017525,              0.0017525,              0.0017525
                     27,                 1.7652,                0.98808,                 1.2932,                0.90808,                0.68131,                0.74137,                 0.3062,                 2.0272,                  1.046,                  1.522,              0.0017426,              0.0017426,              0.0017426
                     28,                 1.7663,                0.99747,                 1.2841,                0.84207,                 0.6654,                0.67147,                 0.2414,                 2.1996,                 1.1195,                 1.6332,              0.0017327,              0.0017327,              0.0017327
                     29,                  1.769,                0.99709,                 1.2856,                0.88325,                0.60099,                0.69111,                0.24178,                 2.3117,                 1.1044,                 1.6792,              0.0017228,              0.0017228,              0.0017228
                     30,                 1.7567,                 1.0121,                 1.2861,                0.84508,                0.66282,                0.71842,                0.26817,                 2.1694,                  1.109,                 1.5897,              0.0017129,              0.0017129,              0.0017129
                     31,                 1.7449,                 1.0046,                 1.2744,                0.87066,                0.66667,                0.71148,                0.26295,                 2.2131,                 1.0997,                 1.6354,               0.001703,               0.001703,               0.001703
                     32,                 1.7273,                0.96364,                 1.2765,                0.89477,                0.69814,                0.74065,                0.30269,                 2.0589,                 1.0165,                  1.558,              0.0016931,              0.0016931,              0.0016931
                     33,                 1.7478,                0.96918,                 1.2877,                0.67153,                0.55829,                0.47772,                0.10457,                 3.0887,                 1.2054,                 2.2607,              0.0016832,              0.0016832,              0.0016832
                     34,                 1.7205,                0.96664,                 1.2575,                0.88924,                0.66502,                 0.7268,                0.29985,                  1.985,                 1.0306,                 1.5157,              0.0016733,              0.0016733,              0.0016733
                     35,                 1.7203,                0.96434,                 1.2653,                0.88883,                0.70897,                0.76154,                0.33053,                  1.874,                0.99704,                 1.4495,              0.0016634,              0.0016634,              0.0016634
                     36,                 1.6873,                0.97039,                  1.246,                0.83293,                0.67128,                0.67608,                0.23437,                 2.3113,                 1.1485,                 1.7307,              0.0016535,              0.0016535,              0.0016535
                     37,                 1.7265,                0.95713,                 1.2713,                0.88284,                0.68144,                0.72126,                0.27882,                 2.1074,                0.97124,                 1.5833,              0.0016436,              0.0016436,              0.0016436
                     38,                 1.7234,                0.96811,                 1.2535,                0.90416,                0.69713,                0.76329,                0.33849,                 1.8802,                0.98805,                 1.4454,              0.0016337,              0.0016337,              0.0016337
                     39,                  1.683,                 0.9317,                  1.255,                0.88755,                0.69294,                0.74656,                0.30627,                 2.0566,                   0.97,                 1.5492,              0.0016238,              0.0016238,              0.0016238
                     40,                   1.67,                 0.9516,                 1.2423,                0.90237,                0.71335,                0.78164,                0.34505,                 1.8637,                0.90987,                 1.4545,              0.0016139,              0.0016139,              0.0016139
                     41,                 1.6855,                0.94049,                 1.2488,                0.89376,                0.67488,                0.74224,                0.29316,                 2.1758,                  1.035,                 1.6153,               0.001604,               0.001604,               0.001604
                     42,                  1.657,                0.92729,                 1.2469,                0.87012,                0.70279,                0.75151,                0.30253,                 2.0711,                0.97516,                 1.5606,              0.0015941,              0.0015941,              0.0015941
                     43,                 1.6663,                0.93493,                 1.2422,                0.76411,                0.65422,                0.62205,                0.20332,                 2.3445,                 1.2472,                 1.7077,              0.0015842,              0.0015842,              0.0015842
                     44,                 1.6553,                 0.9307,                 1.2316,                0.89256,                0.68309,                0.75577,                0.32114,                 1.9598,                 1.0491,                 1.4912,              0.0015743,              0.0015743,              0.0015743
                     45,                  1.665,                0.94014,                 1.2485,                0.91724,                0.72797,                0.78522,                0.35835,                 1.7987,                 0.9491,                 1.4056,              0.0015644,              0.0015644,              0.0015644
                     46,                  1.624,                0.93717,                 1.2212,                0.86703,                0.69593,                0.74378,                0.27592,                 2.1722,                0.96514,                 1.5965,              0.0015545,              0.0015545,              0.0015545
                     47,                 1.6524,                0.93012,                 1.2559,                0.82462,                0.68309,                0.69009,                0.24369,                 2.2295,                 1.0336,                 1.6444,              0.0015446,              0.0015446,              0.0015446
                     48,                 1.6422,                0.93662,                 1.2292,                 0.9127,                0.71921,                0.78007,                 0.3173,                 1.9907,                0.92326,                 1.5045,              0.0015347,              0.0015347,              0.0015347
                     49,                 1.6143,                0.90479,                 1.2207,                0.89366,                0.71593,                0.75954,                0.32458,                 1.9063,                0.91778,                  1.481,              0.0015248,              0.0015248,              0.0015248
                     50,                 1.6464,                0.92686,                 1.2343,                0.93162,                0.70279,                0.77437,                0.33477,                 1.9024,                0.92931,                 1.4685,              0.0015149,              0.0015149,              0.0015149
                     51,                 1.6529,                0.92023,                 1.2344,                0.84132,                0.68778,                0.69177,                 0.2282,                 2.3599,                 1.1862,                 1.7413,               0.001505,               0.001505,               0.001505
