                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.7061,                 3.4751,                 3.4042,                      0,                      0,                      0,                      0,                 6.2382,                 4.4374,                 3.7319,             0.00065909,             0.00065909,             0.00065909
                      2,                 2.5697,                 1.6152,                 1.9093,                0.78899,                0.57273,                0.59007,                 0.2004,                 2.5587,                 1.5009,                 1.9443,              0.0013126,              0.0013126,              0.0013126
                      3,                 2.3881,                 1.4029,                  1.706,                0.83665,                0.58281,                0.65599,                0.25846,                 2.2709,                 1.5634,                 1.7724,               0.001953,               0.001953,               0.001953
                      4,                 2.3707,                 1.3724,                 1.6536,                0.76647,                0.61269,                0.66056,                0.29123,                 2.1064,                 1.4204,                 1.6684,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.2972,                 1.3088,                 1.6063,                0.80338,                0.62582,                0.67113,                0.28068,                 2.2273,                 1.4309,                 1.7166,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.2471,                  1.254,                 1.5871,                0.82915,                0.62654,                 0.6625,                0.26522,                 2.2199,                 1.3117,                 1.7254,               0.001901,               0.001901,               0.001901
                      7,                 2.2347,                 1.2418,                 1.5515,                0.77973,                0.65068,                0.59216,                0.20884,                 2.2447,                 1.3769,                 1.7354,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.1885,                 1.1884,                 1.5263,                 0.8151,                 0.6105,                0.66264,                0.26328,                 2.3125,                 1.2407,                 1.7507,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.1572,                  1.206,                 1.5017,                0.86631,                0.61926,                0.67429,                  0.284,                 2.1419,                 1.1943,                 1.6595,              0.0018416,              0.0018416,              0.0018416
                     10,                  2.135,                 1.1659,                 1.4903,                0.91279,                0.64127,                0.71878,                0.34994,                 1.9771,                 1.1509,                 1.5405,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.0785,                 1.1782,                 1.4572,                0.85045,                0.63464,                0.69952,                0.30298,                 2.1425,                 1.4018,                 1.6117,               0.001802,               0.001802,               0.001802
                     12,                   2.12,                 1.1725,                 1.4759,                0.83638,                0.63239,                0.70523,                0.32089,                 2.0606,                 1.1607,                 1.5864,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.0933,                 1.1692,                 1.4635,                0.89629,                 0.6674,                 0.7292,                0.36767,                 1.7943,                 1.0745,                 1.4376,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.0203,                   1.12,                  1.407,                0.89072,                0.62422,                0.70734,                0.32423,                 1.9858,                 1.1093,                 1.5419,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.0026,                 1.1288,                 1.4178,                0.89387,                0.68271,                0.75364,                0.36621,                 1.8629,                0.99177,                  1.509,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.9963,                 1.1963,                 1.3913,                 0.8164,                0.57112,                0.61615,                0.22265,                 2.5263,                 1.2482,                 1.8565,               0.001703,               0.001703,               0.001703
                     17,                 1.9389,                 1.0783,                 1.3689,                0.90411,                 0.6602,                0.74362,                0.35136,                 1.8143,                 1.0804,                 1.4829,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.9687,                 1.0935,                 1.3817,                0.87561,                0.59519,                0.70379,                0.34239,                 1.8119,                 1.0814,                 1.4667,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.9239,                 1.1075,                  1.373,                0.89415,                0.65864,                0.70361,                 0.3091,                   2.12,                 1.2159,                 1.5918,              0.0016436,              0.0016436,              0.0016436
